filename;classification
20240418_020000_2.wav;achtergrond
20240418_021000_1.wav;achtergrond
20240418_022000_2.wav;achtergrond
20240418_023000_1.wav;achtergrond
20240418_023000_3.wav;achtergrond
20240418_030000_1.wav;achtergrond
20240418_041000_2.wav;achtergrond
20240418_041000_4.wav;achtergrond
20240418_042000_2.wav;achtergrond
20240418_042000_4.wav;achtergrond
20240418_043000_2.wav;achtergrond
20240418_043000_4.wav;achtergrond
20240418_044000_1.wav;achtergrond
20240418_210000_2.wav;achtergrond
20240418_212000_1.wav;achtergrond
20240418_215000_1.wav;achtergrond
20240418_221000_1.wav;achtergrond
20240418_221000_3.wav;achtergrond
20240419_002000_1.wav;achtergrond
20240419_002000_3.wav;achtergrond
20240419_012000_1.wav;achtergrond
20240419_013000_1.wav;achtergrond
20240419_014000_1.wav;achtergrond
20240419_014000_3.wav;achtergrond
20240419_020000_2.wav;achtergrond
20240419_032000_1.wav;achtergrond
20240419_040000_2.wav;achtergrond
20240419_053000_2.wav;achtergrond
20240419_130000_1.wav;achtergrond
20240419_130000_3.wav;achtergrond
20240419_130000_5.wav;achtergrond
20240420_050000_1.wav;achtergrond
20240421_120000_2.wav;achtergrond
20240421_120000_4.wav;achtergrond
20240422_020000_1.wav;achtergrond
20240422_020000_3.wav;achtergrond
20240422_030000_1.wav;achtergrond
20240422_030000_3.wav;achtergrond
20240422_031000_2.wav;achtergrond
20240422_034000_1.wav;achtergrond
20240422_035000_1.wav;achtergrond
20240422_035000_3.wav;achtergrond
20240422_040000_2.wav;achtergrond
20240422_040000_4.wav;achtergrond
20240422_041000_2.wav;achtergrond
20240422_041000_4.wav;achtergrond
20240422_042000_2.wav;achtergrond
20240422_044000_1.wav;achtergrond
20240422_110000_2.wav;achtergrond
20240422_110000_4.wav;achtergrond
20240422_110000_6.wav;achtergrond
20240423_010000_2.wav;achtergrond
20240423_013000_1.wav;achtergrond
20240423_014000_1.wav;achtergrond
20240423_014000_3.wav;achtergrond
20240423_015000_1.wav;achtergrond
20240423_015000_3.wav;achtergrond
20240423_020000_2.wav;achtergrond
20240423_020000_4.wav;achtergrond
20240423_021000_2.wav;achtergrond
20240423_022000_2.wav;achtergrond
20240423_023000_1.wav;achtergrond
20240423_032000_1.wav;achtergrond
20240423_033000_1.wav;achtergrond
20240423_033000_3.wav;achtergrond
20240423_033000_5.wav;achtergrond
20240423_034000_2.wav;achtergrond
20240423_035000_1.wav;achtergrond
20240423_040000_1.wav;achtergrond
20240423_040000_3.wav;achtergrond
20240423_041000_1.wav;achtergrond
20240423_042000_1.wav;achtergrond
20240423_042000_3.wav;achtergrond
20240423_043000_2.wav;achtergrond
20240423_043000_4.wav;achtergrond
20240423_044000_2.wav;achtergrond
20240423_045000_1.wav;achtergrond
20240423_050000_1.wav;achtergrond
20240423_051000_2.wav;achtergrond
20240423_051000_4.wav;achtergrond
20240423_090000_2.wav;achtergrond
20240423_090000_4.wav;achtergrond
20240423_090000_6.wav;achtergrond
20240423_100000_2.wav;achtergrond
20240423_100000_4.wav;achtergrond
20240423_100000_6.wav;achtergrond
20240423_110000_2.wav;achtergrond
20240423_110000_4.wav;achtergrond
20240423_110000_6.wav;achtergrond
20240423_120000_2.wav;achtergrond
20240414_002000_2.wav;klauwkikker
20240414_002000_4.wav;klauwkikker
20240414_002000_6.wav;klauwkikker
20240414_005000_2.wav;klauwkikker
20240414_005000_4.wav;klauwkikker
20240414_005000_6.wav;klauwkikker
20240414_010000_2.wav;klauwkikker
20240414_010000_4.wav;klauwkikker
20240414_010000_6.wav;klauwkikker
20240414_011000_2.wav;klauwkikker
20240414_011000_4.wav;klauwkikker
20240414_012000_2.wav;klauwkikker
20240414_012000_4.wav;klauwkikker
20240414_013000_1.wav;klauwkikker
20240414_013000_3.wav;klauwkikker
20240414_013000_5.wav;klauwkikker
20240414_020000_2.wav;klauwkikker
20240414_020000_4.wav;klauwkikker
20240414_021000_1.wav;klauwkikker
20240414_021000_3.wav;klauwkikker
20240414_021000_5.wav;klauwkikker
20240414_022000_1.wav;klauwkikker
20240414_022000_3.wav;klauwkikker
20240414_022000_5.wav;klauwkikker
20240414_023000_1.wav;klauwkikker
20240414_023000_3.wav;klauwkikker
20240414_023000_5.wav;klauwkikker
20240414_031000_2.wav;klauwkikker
20240414_032000_1.wav;klauwkikker
20240414_032000_3.wav;klauwkikker
20240414_034000_1.wav;klauwkikker
20240414_034000_3.wav;klauwkikker
20240414_035000_1.wav;klauwkikker
20240414_035000_3.wav;klauwkikker
20240414_040000_1.wav;klauwkikker
20240414_040000_3.wav;klauwkikker
20240414_040000_5.wav;klauwkikker
20240414_041000_2.wav;klauwkikker
20240414_042000_2.wav;klauwkikker
20240414_042000_4.wav;klauwkikker
20240414_043000_1.wav;klauwkikker
20240414_043000_3.wav;klauwkikker
20240414_043000_5.wav;klauwkikker
20240414_044000_2.wav;klauwkikker
20240414_044000_4.wav;klauwkikker
20240414_044000_6.wav;klauwkikker
20240414_045000_2.wav;klauwkikker
20240414_045000_4.wav;klauwkikker
20240414_060000_1.wav;klauwkikker
20240414_060000_3.wav;klauwkikker
20240414_060000_5.wav;klauwkikker
20240414_014000_4.wav;achtergrond
20240414_015000_4.wav;achtergrond
20240414_025000_2.wav;achtergrond
20240414_052000_2.wav;achtergrond
20240414_053000_2.wav;achtergrond
20240414_054000_2.wav;achtergrond
20240414_054000_6.wav;achtergrond
20240414_055000_4.wav;achtergrond
20240414_061000_4.wav;achtergrond
20240414_062000_2.wav;achtergrond
20240414_062000_6.wav;achtergrond
20240414_064000_2.wav;achtergrond
20240414_064000_6.wav;achtergrond
20240414_110000_1.wav;achtergrond
20240417_052000_3.wav;achtergrond
20240417_054000_1.wav;achtergrond
20240417_054000_5.wav;achtergrond
20240417_055000_3.wav;achtergrond
20240417_060000_1.wav;achtergrond
20240417_080000_2.wav;achtergrond
20240417_090000_3.wav;achtergrond
20240417_120000_2.wav;achtergrond
20240417_131000_1.wav;achtergrond
20240417_140000_2.wav;achtergrond
20240417_140000_6.wav;achtergrond
20240417_150000_4.wav;achtergrond
20240417_160000_2.wav;achtergrond
20240417_193000_2.wav;achtergrond
20240417_193000_6.wav;achtergrond
20240417_200000_3.wav;achtergrond
20240417_210000_4.wav;achtergrond
20240417_211000_3.wav;achtergrond
20240417_213000_3.wav;achtergrond
20240417_214000_3.wav;achtergrond
20240417_222000_1.wav;achtergrond
20240417_223000_1.wav;achtergrond
20240417_225000_2.wav;achtergrond
20240417_225000_6.wav;achtergrond
20240417_230000_4.wav;achtergrond
20240417_231000_2.wav;achtergrond
20240417_231000_6.wav;achtergrond
20240417_232000_4.wav;achtergrond
20240417_233000_2.wav;achtergrond
20240417_233000_6.wav;achtergrond
20240418_021000_1.wav;achtergrond
20240418_023000_1.wav;achtergrond
20240418_030000_1.wav;achtergrond
20240418_041000_4.wav;achtergrond
20240418_042000_4.wav;achtergrond
20240418_043000_4.wav;achtergrond
20240418_210000_2.wav;achtergrond
20240418_215000_1.wav;achtergrond
20240418_221000_3.wav;achtergrond
20240419_002000_3.wav;achtergrond
20240419_013000_1.wav;achtergrond
20240419_014000_3.wav;achtergrond
20240419_032000_1.wav;achtergrond
20240419_053000_2.wav;achtergrond
20240419_130000_3.wav;achtergrond
20240420_050000_1.wav;achtergrond
20240421_120000_4.wav;achtergrond
20240422_020000_3.wav;achtergrond
20240422_030000_3.wav;achtergrond
20240422_034000_1.wav;achtergrond
20240422_035000_3.wav;achtergrond
20240422_040000_4.wav;achtergrond
20240422_041000_4.wav;achtergrond
20240422_044000_1.wav;achtergrond
20240422_110000_4.wav;achtergrond
20240423_010000_2.wav;achtergrond
20240423_014000_1.wav;achtergrond
20240423_015000_1.wav;achtergrond
20240423_020000_2.wav;achtergrond
20240423_021000_2.wav;achtergrond
20240423_023000_1.wav;achtergrond
20240423_033000_1.wav;achtergrond
20240423_033000_5.wav;achtergrond
20240423_035000_1.wav;achtergrond
20240423_040000_3.wav;achtergrond
20240423_042000_1.wav;achtergrond
20240423_043000_2.wav;achtergrond
20240423_044000_2.wav;achtergrond
20240423_050000_1.wav;achtergrond
20240423_051000_4.wav;achtergrond
20240423_090000_4.wav;achtergrond
20240423_100000_2.wav;achtergrond
20240423_100000_6.wav;achtergrond
20240423_110000_4.wav;achtergrond
20240423_120000_2.wav;achtergrond
20240414_002000_4.wav;klauwkikker
20240414_005000_2.wav;klauwkikker
20240414_005000_6.wav;klauwkikker
20240414_010000_4.wav;klauwkikker
20240414_011000_2.wav;klauwkikker
20240414_012000_2.wav;klauwkikker
20240414_013000_1.wav;klauwkikker
20240414_013000_5.wav;klauwkikker
20240414_020000_4.wav;klauwkikker
20240414_021000_3.wav;klauwkikker
20240414_022000_1.wav;klauwkikker
20240414_022000_5.wav;klauwkikker
20240414_023000_3.wav;klauwkikker
20240414_031000_2.wav;klauwkikker
20240414_032000_3.wav;klauwkikker
20240414_034000_3.wav;klauwkikker
20240414_035000_3.wav;klauwkikker
20240414_040000_3.wav;klauwkikker
20240414_041000_2.wav;klauwkikker
20240414_042000_4.wav;klauwkikker
20240414_043000_3.wav;klauwkikker
20240414_044000_2.wav;klauwkikker
20240414_044000_6.wav;klauwkikker
20240414_045000_4.wav;klauwkikker
20240414_060000_3.wav;klauwkikker
